fold,method,K,history_alpha,history_mse,history_phase,grid_optimized_alpha,alpha_diff,alpha_diff_abs
1,spcc,80,5.0,0.6954949084808097,coarse,4.0,1.0,1.0
1,spcc,90,5.0,0.6958215113841993,coarse,4.0,1.0,1.0
1,spcc,100,5.0,0.6960454225902062,coarse,4.0,1.0,1.0
1,src,10,2.0,0.733734995183494,coarse,1.0500000000000005,0.9499999999999995,0.9499999999999995
1,src,20,3.0,0.7337925884651725,coarse,1.8500000000000003,1.1499999999999997,1.1499999999999997
1,src,30,2.9999999999999964,0.7390194733709405,fine,2.3499999999999988,0.6499999999999977,0.6499999999999977
1,src,40,3.5,0.7429632870150257,coarse,2.6499999999999977,0.8500000000000023,0.8500000000000023
1,src,50,3.5,0.7457474894326579,coarse,2.8499999999999988,0.6500000000000012,0.6500000000000012
1,src,60,3.5,0.7477973785001213,coarse,3.0,0.5,0.5
1,src,70,3.5,0.7492366371216674,coarse,2.9999999999999982,0.5000000000000018,0.5000000000000018
1,src,80,4.0,0.7499959182558777,coarse,3.0,1.0,1.0
1,src,90,4.0,0.7504970332149767,coarse,3.0,1.0,1.0
1,src,100,4.0,0.7508382961258364,coarse,3.0,1.0,1.0
2,acos,10,0.05,1.046119050046405,fine,0.05,0.0,0.0
2,acos,20,0.05,1.003841718946024,fine,0.15,-0.09999999999999999,0.09999999999999999
2,acos,30,0.15,0.9949892204235204,fine,0.25,-0.1,0.1
2,acos,40,0.2,0.9939938801237868,fine,0.35,-0.14999999999999997,0.14999999999999997
2,acos,50,0.25,0.994847412508882,fine,0.35,-0.09999999999999998,0.09999999999999998
2,acos,60,0.3,0.996292612741128,fine,0.4,-0.10000000000000003,0.10000000000000003
2,acos,70,0.3,0.996733237848523,fine,0.4,-0.10000000000000003,0.10000000000000003
2,acos,80,0.35,0.998418322995406,fine,0.45,-0.10000000000000003,0.10000000000000003
2,acos,90,0.35,0.9995887083009244,fine,0.45,-0.10000000000000003,0.10000000000000003
2,acos,100,0.35,1.0009038630850409,fine,0.45,-0.10000000000000003,0.10000000000000003
2,ami,10,0.1,1.003569862691324,fine,0.3,-0.19999999999999998,0.19999999999999998
2,ami,20,0.25,0.9722291886130944,fine,0.45,-0.2,0.2
2,ami,30,0.4,0.9715935732318564,fine,0.6000000000000001,-0.20000000000000007,0.20000000000000007
2,ami,40,0.5,0.9726512381242156,coarse,0.65,-0.15000000000000002,0.15000000000000002
2,ami,50,0.55,0.97477545789758,fine,0.7000000000000001,-0.15000000000000002,0.15000000000000002
2,ami,60,0.6000000000000001,0.9764779278169748,fine,0.7500000000000002,-0.15000000000000013,0.15000000000000013
2,ami,70,0.6500000000000001,0.978212979501358,fine,0.8000000000000003,-0.15000000000000013,0.15000000000000013
2,ami,80,0.7000000000000002,0.9792321730393342,fine,0.8000000000000003,-0.10000000000000009,0.10000000000000009
2,ami,90,0.7000000000000002,0.9803336760886524,fine,0.8500000000000003,-0.15000000000000013,0.15000000000000013
2,ami,100,0.7000000000000002,0.9810893331612162,fine,0.8500000000000003,-0.15000000000000013,0.15000000000000013
2,ari,10,0.15,1.003115947002,fine,0.3,-0.15,0.15
2,ari,20,0.3,0.9740792237698432,fine,0.45,-0.15000000000000002,0.15000000000000002
