fold,method,K,alpha_std,alpha_range,n_unique_alphas
4,ipwr,80,0.0,0.0,1
4,ipwr,90,0.0,0.0,1
4,ipwr,100,0.0,0.0,1
4,itr,10,0.0,0.0,1
4,itr,20,0.0,0.0,1
4,itr,30,0.0,0.0,1
4,itr,40,0.0,0.0,1
4,itr,50,0.0,0.0,1
4,itr,60,0.0,0.0,1
4,itr,70,0.0,0.0,1
4,itr,80,0.0,0.0,1
4,itr,90,0.0,0.0,1
4,itr,100,0.0,0.0,1
4,jaccard,10,0.0,0.0,1
4,jaccard,20,0.0,0.0,1
4,jaccard,30,0.0,0.0,1
4,jaccard,40,2.220446049250313e-16,0.0,1
4,jaccard,50,0.0,0.0,1
4,jaccard,60,2.220446049250313e-16,0.0,1
4,jaccard,70,0.0,0.0,1
4,jaccard,80,0.0,0.0,1
4,jaccard,90,0.0,0.0,1
4,jaccard,100,0.0,0.0,1
4,jmsd,10,2.220446049250313e-16,0.0,1
4,jmsd,20,0.0,0.0,1
4,jmsd,30,0.0,0.0,1
4,jmsd,40,0.0,0.0,1
4,jmsd,50,0.0,0.0,1
4,jmsd,60,0.0,0.0,1
4,jmsd,70,0.0,0.0,1
4,jmsd,80,0.0,0.0,1
4,jmsd,90,0.0,0.0,1
4,jmsd,100,0.0,0.0,1
4,kendall_tau_b,10,0.0,0.0,1
4,kendall_tau_b,20,0.0,0.0,1
4,kendall_tau_b,30,0.0,0.0,1
4,kendall_tau_b,40,0.0,0.0,1
4,kendall_tau_b,50,0.0,0.0,1
4,kendall_tau_b,60,0.0,0.0,1
4,kendall_tau_b,70,0.0,0.0,1
4,kendall_tau_b,80,0.0,0.0,1
4,kendall_tau_b,90,0.0,0.0,1
4,kendall_tau_b,100,0.0,0.0,1
4,manhattan,10,0.0,0.0,1
4,manhattan,20,2.220446049250313e-16,0.0,1
4,manhattan,30,0.0,0.0,1
4,manhattan,40,4.440892098500626e-16,0.0,1
4,manhattan,50,0.0,0.0,1
4,manhattan,60,0.0,0.0,1
4,manhattan,70,4.440892098500626e-16,0.0,1
4,manhattan,80,0.0,0.0,1
4,manhattan,90,0.0,0.0,1
4,manhattan,100,0.0,0.0,1
4,msd,10,0.0,0.0,1
4,msd,20,0.0,0.0,1
4,msd,30,0.0,0.0,1
4,msd,40,0.0,0.0,1
4,msd,50,0.0,0.0,1
4,msd,60,0.0,0.0,1
4,msd,70,0.0,0.0,1
4,msd,80,0.0,0.0,1
4,msd,90,0.0,0.0,1
4,msd,100,0.0,0.0,1
4,pcc,10,0.0,0.0,1
4,pcc,20,0.0,0.0,1
4,pcc,30,0.0,0.0,1
4,pcc,40,0.0,0.0,1
4,pcc,50,0.0,0.0,1
4,pcc,60,0.0,0.0,1
4,pcc,70,0.0,0.0,1
4,pcc,80,0.0,0.0,1
4,pcc,90,0.0,0.0,1
4,pcc,100,0.0,0.0,1
4,spcc,10,0.0,0.0,1
4,spcc,20,0.0,0.0,1
4,spcc,30,0.0,0.0,1
4,spcc,40,0.0,0.0,1
4,spcc,50,0.0,0.0,1
4,spcc,60,0.0,0.0,1
4,spcc,70,0.0,0.0,1
4,spcc,80,0.0,0.0,1
4,spcc,90,0.0,0.0,1
4,spcc,100,0.0,0.0,1
4,src,10,0.0,0.0,1
4,src,20,0.0,0.0,1
4,src,30,0.0,0.0,1
4,src,40,0.0,0.0,1
4,src,50,0.0,0.0,1
4,src,60,0.0,0.0,1
4,src,70,0.0,0.0,1
4,src,80,0.0,0.0,1
4,src,90,0.0,0.0,1
4,src,100,0.0,0.0,1
5,acos,10,0.0,0.0,1
5,acos,20,0.0,0.0,1
5,acos,30,0.0,0.0,1
5,acos,40,2.7755575615628914e-17,0.0,1
5,acos,50,0.0,0.0,1
5,acos,60,0.0,0.0,1
5,acos,70,5.551115123125783e-17,0.0,1
5,acos,80,5.551115123125783e-17,0.0,1
5,acos,90,0.0,0.0,1
5,acos,100,0.0,0.0,1
5,ami,10,0.0,0.0,1
5,ami,20,0.0,0.0,1
5,ami,30,0.0,0.0,1
5,ami,40,0.0,0.0,1
5,ami,50,0.0,0.0,1
5,ami,60,0.0,0.0,1
5,ami,70,0.0,0.0,1
5,ami,80,0.0,0.0,1
5,ami,90,0.0,0.0,1
5,ami,100,1.1102230246251565e-16,0.0,1
5,ari,10,0.0,0.0,1
5,ari,20,0.0,0.0,1
5,ari,30,0.0,0.0,1
5,ari,40,0.0,0.0,1
5,ari,50,0.0,0.0,1
5,ari,60,0.0,0.0,1
5,ari,70,0.0,0.0,1
5,ari,80,0.0,0.0,1
5,ari,90,0.0,0.0,1
5,ari,100,0.0,0.0,1
5,chebyshev,10,0.0,0.0,1
5,chebyshev,20,0.0,0.0,1
5,chebyshev,30,0.0,0.0,1
5,chebyshev,40,0.0,0.0,1
5,chebyshev,50,0.0,0.0,1
5,chebyshev,60,0.0,0.0,1
5,chebyshev,70,0.0,0.0,1
5,chebyshev,80,0.0,0.0,1
5,chebyshev,90,0.0,0.0,1
5,chebyshev,100,0.0,0.0,1
5,cosine,10,0.0,0.0,1
5,cosine,20,0.0,0.0,1
5,cosine,30,0.0,0.0,1
5,cosine,40,0.0,0.0,1
5,cosine,50,0.0,0.0,1
5,cosine,60,0.0,0.0,1
5,cosine,70,0.0,0.0,1
5,cosine,80,0.0,0.0,1
5,cosine,90,0.0,0.0,1
5,cosine,100,0.0,0.0,1
