fold,method,alpha,type,K,TopN,RMSE,MAD,Precision,Recall,lambda
3,ami,0.9000000000000004,optimized,60,40,1.0336612388439055,0.8225634485989405,0.5726397513148832,0.9981350129292287,0.015
3,ami,0.9000000000000004,optimized,60,45,1.0336612388439055,0.8225634485989405,0.5723704680456884,0.9989274104958198,0.015
3,ami,0.9000000000000004,optimized,60,50,1.0336612388439055,0.8225634485989405,0.5721229959981989,0.9992299135791906,0.015
3,ami,0.9000000000000004,optimized,70,5,1.0331347445900019,0.8220525155058499,0.6544892188052315,0.7132381808433349,0.015
3,ami,0.9000000000000004,optimized,70,10,1.0331347445900019,0.8220525155058499,0.6187858741941457,0.8760944881823204,0.015
3,ami,0.9000000000000004,optimized,70,15,1.0331347445900019,0.8220525155058499,0.5981706640243225,0.9435100762695158,0.015
3,ami,0.9000000000000004,optimized,70,20,1.0331347445900019,0.8220525155058499,0.5860382130457542,0.9727178511582149,0.015
3,ami,0.9000000000000004,optimized,70,25,1.0331347445900019,0.8220525155058499,0.580038652951953,0.9885136798776242,0.015
3,ami,0.9000000000000004,optimized,70,30,1.0331347445900019,0.8220525155058499,0.5754643648555234,0.993725453095053,0.015
3,ami,0.9000000000000004,optimized,70,35,1.0331347445900019,0.8220525155058499,0.5735384600720503,0.9966846206967892,0.015
3,ami,0.9000000000000004,optimized,70,40,1.0331347445900019,0.8220525155058499,0.5726397513148832,0.9981350129292287,0.015
3,ami,0.9000000000000004,optimized,70,45,1.0331347445900019,0.8220525155058499,0.5723704680456884,0.9989274104958198,0.015
3,ami,0.9000000000000004,optimized,70,50,1.0331347445900019,0.8220525155058499,0.5721229959981989,0.9992299135791906,0.015
3,ami,0.9500000000000004,optimized,80,5,1.0341934612133596,0.822781438152591,0.655125486037469,0.7135445043684394,0.015
3,ami,0.9500000000000004,optimized,80,10,1.0341934612133596,0.822781438152591,0.6185737851167331,0.8760545629262967,0.015
3,ami,0.9500000000000004,optimized,80,15,1.0341934612133596,0.822781438152591,0.598099967665185,0.9434479513752019,0.015
3,ami,0.9500000000000004,optimized,80,20,1.0341934612133596,0.822781438152591,0.5859851907764013,0.9726210660593032,0.015
3,ami,0.9500000000000004,optimized,80,25,1.0341934612133596,0.822781438152591,0.5799113995055054,0.9883681579425407,0.015
3,ami,0.9500000000000004,optimized,80,30,1.0341934612133596,0.822781438152591,0.5754290166759547,0.9936857264146144,0.015
3,ami,0.9500000000000004,optimized,80,35,1.0341934612133596,0.822781438152591,0.5735384600720503,0.9966810554818781,0.015
3,ami,0.9500000000000004,optimized,80,40,1.0341934612133596,0.822781438152591,0.5726662624495598,0.9981777955081625,0.015
3,ami,0.9500000000000004,optimized,80,45,1.0341934612133596,0.822781438152591,0.5723940334987341,0.9989583090250499,0.015
3,ami,0.9500000000000004,optimized,80,50,1.0341934612133596,0.822781438152591,0.5721229959981989,0.9992299135791906,0.015
3,ami,0.9500000000000004,optimized,90,5,1.0339676841931353,0.82253810012176,0.655125486037469,0.7135381739796667,0.015
3,ami,0.9500000000000004,optimized,90,10,1.0339676841931353,0.82253810012176,0.6186798296554396,0.8760692919996289,0.015
3,ami,0.9500000000000004,optimized,90,15,1.0339676841931353,0.82253810012176,0.59824136038346,0.9436296575904318,0.015
3,ami,0.9500000000000004,optimized,90,20,1.0339676841931353,0.82253810012176,0.5861442575844605,0.972781429426007,0.015
3,ami,0.9500000000000004,optimized,90,25,1.0339676841931353,0.82253810012176,0.5799113995055054,0.9883847107260568,0.015
3,ami,0.9500000000000004,optimized,90,30,1.0339676841931353,0.82253810012176,0.5753936684963861,0.993835465440883,0.015
3,ami,0.9500000000000004,optimized,90,35,1.0339676841931353,0.82253810012176,0.5735384600720503,0.9966810554818781,0.015
3,ami,0.9500000000000004,optimized,90,40,1.0339676841931353,0.82253810012176,0.5726662624495598,0.9981777955081625,0.015
3,ami,0.9500000000000004,optimized,90,45,1.0339676841931353,0.82253810012176,0.5723940334987341,0.9989583090250499,0.015
3,ami,0.9500000000000004,optimized,90,50,1.0339676841931353,0.82253810012176,0.5721229959981989,0.9992299135791906,0.015
3,ami,0.9500000000000004,optimized,100,5,1.0339366764205766,0.8225169423322501,0.654701307882644,0.7133051385686557,0.015
3,ami,0.9500000000000004,optimized,100,10,1.0339366764205766,0.8225169423322501,0.6180435624232019,0.8756274430316398,0.015
3,ami,0.9500000000000004,optimized,100,15,1.0339366764205766,0.8225169423322501,0.59795857494691,0.9432867919527943,0.015
3,ami,0.9500000000000004,optimized,100,20,1.0339366764205766,0.8225169423322501,0.5859851907764013,0.972642386044472,0.015
3,ami,0.9500000000000004,optimized,100,25,1.0339366764205766,0.8225169423322501,0.579868981690023,0.988325375363607,0.015
3,ami,0.9500000000000004,optimized,100,30,1.0339366764205766,0.8225169423322501,0.5753936684963861,0.993835465440883,0.015
3,ami,0.9500000000000004,optimized,100,35,1.0339366764205766,0.8225169423322501,0.5735384600720503,0.9966810554818781,0.015
3,ami,0.9500000000000004,optimized,100,40,1.0339366764205766,0.8225169423322501,0.5726662624495598,0.9981777955081625,0.015
3,ami,0.9500000000000004,optimized,100,45,1.0339366764205766,0.8225169423322501,0.5723940334987341,0.9989583090250499,0.015
3,ami,0.9500000000000004,optimized,100,50,1.0339366764205766,0.8225169423322501,0.5721229959981989,0.9992299135791906,0.015
3,ari,0.4,optimized,10,5,1.0582371237477122,0.8425353903592998,0.6468540120183811,0.7064120273127895,0.015
3,ari,0.4,optimized,10,10,1.0582371237477122,0.8425353903592998,0.612741335487889,0.8686565325545081,0.015
3,ari,0.4,optimized,10,15,1.0582371237477122,0.8425353903592998,0.5955548987362349,0.9406594594985611,0.015
3,ari,0.4,optimized,10,20,1.0582371237477122,0.8425353903592998,0.5853489235441636,0.9723272154301482,0.015
3,ari,0.4,optimized,10,25,1.0582371237477122,0.8425353903592998,0.5792751322732679,0.9876700657319605,0.015
3,ari,0.4,optimized,10,30,1.0582371237477122,0.8425353903592998,0.5754643648555234,0.9940276546751841,0.015
3,ari,0.4,optimized,10,35,1.0582371237477122,0.8425353903592998,0.5734778631927896,0.9963986440733988,0.015
3,ari,0.4,optimized,10,40,1.0582371237477122,0.8425353903592998,0.5727457958535894,0.9981660503629357,0.015
3,ari,0.4,optimized,10,45,1.0582371237477122,0.8425353903592998,0.5723940334987341,0.9989663307585999,0.015
3,ari,0.4,optimized,10,50,1.0582371237477122,0.8425353903592998,0.5721442049059402,0.9992726961581244,0.015
